sharpness,exposure,contrast,color_balance,effective_resolution,framing,coherence,rho,p_value,kind
0.1519432054754757,0.09517563072523003,0.09128757454327943,0.060763374537710586,0.005834956038639363,0.5457342937645618,0.049260964915103116,0.681672494972626,5.043697909621305e-08,random
0.2177690859994973,0.10370936063302517,0.09448670580708017,0.18653472555515085,0.03249749507593353,0.34692648431855794,0.0180761426107551,0.6815758655169634,5.074232803782541e-08,random
0.17794145328555086,0.03236468637446757,0.11404077118671077,0.008198212297734753,0.0827175110150525,0.2482561146317859,0.33648125120869765,0.6810444035108184,5.24529629351603e-08,random
0.055831712062416536,0.06318805630836634,0.12713643391827026,0.08553864753981462,0.18221266811597406,0.3329527386515353,0.15313974340362285,0.6808994593273243,5.292879761349942e-08,random
0.16284261354271357,0.041583848120825995,0.1494465221305187,0.0005155902276208858,0.04471400425187201,0.5812270209089295,0.01967040081751946,0.6802713678655167,5.503789722689424e-08,random
0.17100427544998187,0.02314638664376056,0.2011671328628134,0.011028021478955237,0.07703702855884778,0.34303369091519625,0.1735834640904448,0.6802230531376854,5.52033567007032e-08,random
0.05247239483036891,0.11473730343460058,0.08976346196910397,0.01582461186143425,0.12942923081241892,0.5234634823943688,0.07430951469770464,0.6799814794985285,5.603767165809874e-08,random
0.20889809038068535,0.0995690880744515,0.09464135487864751,0.10245319370551453,0.08127208645382075,0.39986766975913024,0.01329851674775001,0.6797399058593718,5.688379552984841e-08,random
0.3435250631658884,0.01594381112682311,0.16796416716636003,0.032097050322881016,0.10768746697306057,0.33114450574865767,0.0016379354963294045,0.6796915911315405,5.7054451024606027e-08,random
0.1998115817831968,0.12544292551756633,0.08630091643427977,0.025453724762682955,0.0396320164315585,0.39781762725860165,0.12554120781211395,0.6792567585810583,5.861209389591521e-08,random
0.14488264102060605,0.07056813494725095,0.13469278846135907,0.059746306345860326,0.10558523126753118,0.34078686444112555,0.1437380335162671,0.6787252965749133,6.057001267501654e-08,random
0.17124709287419576,0.11067351615236397,0.09045427623208582,0.03359932158849652,0.05860915688429334,0.3549886644719828,0.18042797179658177,0.6786769818470819,6.075101230710314e-08,random
0.07281791066664157,0.174908692114186,0.1146251324364487,0.03240740495591239,0.08199063681495158,0.5179751110887969,0.005275111923062722,0.6785803523914192,6.111453343232755e-08,random
0.02945807409124153,0.0752890490422023,0.17614645301115586,0.13532706833069155,0.06707922297841457,0.45136452369243085,0.06533560885386339,0.677614057834792,6.486360464121132e-08,random
0.04830890568829478,0.09039998828382499,0.12836028917662237,0.11853577175881688,0.11310631725410411,0.47322163837189146,0.02806708946644546,0.6767927074616591,6.821868695619433e-08,random
0.090410677830893,0.034182999322681346,0.12611960418733567,0.17951110937352824,0.08437342539899272,0.3749868735205855,0.11041531036598354,0.676647763278165,6.882738340788793e-08,random
0.33076205110695295,0.03639914943083498,0.102911851168335,0.05469956788930562,0.0555109692409154,0.285144513406636,0.13457189775702005,0.6752949508988869,7.475919522372123e-08,random
0.18827281799213857,0.09792266032195353,0.10576393669249462,0.05030750289736298,0.12980088923025693,0.3548211907533913,0.07311100211240179,0.6752949508988869,7.475919522372123e-08,random
0.27000641310931695,0.09736561388810101,0.10058992083524622,0.08775922756084444,0.012147124294336745,0.33434219308764374,0.09778950722451077,0.6738455090639461,8.164427877167447e-08,random
0.07878191116724877,0.0988267993602162,0.10063704535831407,0.04558916378279645,0.13298587326760378,0.3573349463075211,0.18584426075629953,0.6730724734186445,8.555489541853655e-08,random
0.11684392801179183,0.1986817915483414,0.03943685082696701,0.010456783142160291,0.027239014018613224,0.4617875218893641,0.14555411056276207,0.672879214507319,8.655960147887753e-08,random
0.22536785101496098,0.13503327023672126,0.06676481194578847,0.05516060799034064,0.05991569780146899,0.4210530155974662,0.03670474541325325,0.6724926966846682,8.860225459490332e-08,random
0.18458606323347002,0.1435642816899066,0.046727936111985786,0.025688026711877806,0.019487074807915557,0.4397773418522104,0.14016927559263395,0.6722994377733428,8.964042834558893e-08,random
0.15979302749868793,0.059133348199019886,0.0912846034484346,0.08173978707788682,0.10917913261891489,0.34761115198022147,0.1512589491768342,0.6706567370270765,9.89364413140053e-08,random
0.2598181415355679,0.11429218716214261,0.10700471017405723,0.001724990573274956,0.09825779489537893,0.3763554482263355,0.0425467274332428,0.6706084222992452,9.922305373365296e-08,random
0.07545734640382157,0.05400982192610437,0.15060440821411125,0.0209732213727481,0.21198438266953543,0.39974091507119397,0.08722990434248537,0.6701252750209317,1.0213225570778023e-07,random
0.16022411571200643,0.028973021012388713,0.10310581147949169,0.06951263760740513,0.0735062590225317,0.31280936978566687,0.2518687853805093,0.6700769602931004,1.0242752725770427e-07,random
0.12527505663999253,0.035843619269226565,0.0732253353746868,0.00950124375486409,0.05713336953000302,0.41803449159114087,0.2809868838400862,0.6699803308374377,1.0302046978096402e-07,random
0.12170969749881595,0.10747817896542551,0.10905919685684763,0.03387424859092095,0.16545900220933046,0.35603972630083336,0.10637994957782618,0.6683376300911714,1.1360546401969486e-07,random
0.11538770379335009,0.19204627718743353,0.048606321431543496,0.07060172381655126,0.052352576290616994,0.5075446013879592,0.013460796092545458,0.6672747060788815,1.2098813903155417e-07,random
0.13965035984908913,0.040087381018527456,0.11093216835622657,0.0821450926587418,0.09035838557690831,0.40274978900812963,0.1340768235323772,0.6661634673387603,1.2918495440025117e-07,random
0.10254000683551762,0.13626413758303185,0.11779836654701596,0.028606466766599867,0.05924109181795576,0.4163055834098629,0.139244347040016,0.6660185231552662,1.3029162473249395e-07,random
0.04803159984608885,0.031039204915210644,0.13876216573328853,0.1481632694441148,0.0516824479608293,0.4269675967299616,0.15535371537050632,0.6652938022377959,1.3595931351632035e-07,random
0.07113265222401315,0.18204832644309665,0.04245326600091841,0.019594534934357793,0.060063913437427376,0.6127092752581619,0.011998031702024792,0.6651488580543017,1.3712018696395797e-07,random
0.10620819418317734,0.09420228503115113,0.10340645967649957,0.022112613580294028,0.1690389793154637,0.3511182936926206,0.15391317452079376,0.6648589696873136,1.3946981297740405e-07,random
0.19466857688752195,0.11808022859414741,0.06967419364741669,0.011920359272276134,0.0923691076416772,0.4954020179340874,0.017885516022873305,0.6648106549594822,1.3986506104270923e-07,random
0.050386919441778893,0.15442871056128973,0.04818143124147448,0.002998540383266397,0.12549939155388978,0.5308947196873921,0.08761028713090871,0.6647140255038195,1.4065870349221042e-07,random
0.13706670587743436,0.024794560618605244,0.09451916905625982,0.07057132898082792,0.1436023243672979,0.4830663616380363,0.04637954946153863,0.6646657107759882,1.4105710304377744e-07,random
0.09022107582738088,0.22286379667516484,0.036162443505122877,0.022013433357858735,0.08182535178818505,0.5000626382377414,0.046851260608546046,0.6644724518646627,1.426612839884446e-07,random
0.18208369401824992,0.07758005457966197,0.06419196029077288,0.04605003125555181,0.05256128223298288,0.5340765150218062,0.04345646260097428,0.6644241371368313,1.430649879451328e-07,random
0.1873157336222223,0.11376370033686638,0.05489915062675926,0.006103074012122175,0.044750186635951525,0.48821574086475505,0.10495241390132336,0.6644241371368313,1.430649879451328e-07,random
0.09141679233841826,0.05208447353850376,0.12082470596295321,0.002648111355242133,0.06439475514689019,0.5149874508297302,0.15364371082826217,0.663844360402855,1.4799355168455986e-07,random
0.1880519065330044,0.12364160950121275,0.06660779059687001,0.10792276464915257,0.04398671075050726,0.31686176715914444,0.15292745081010853,0.6637960456750238,1.4841135572880185e-07,random
0.09986204309903411,0.15603626218484018,0.05641140728058799,0.00499844470014616,0.12510170882817143,0.5069314363058604,0.05065869760135965,0.6627331216627339,1.578870401810961e-07,random
0.24024328955164972,0.06374569889688958,0.06740793943288687,0.0768705513157346,0.05041618063458793,0.3524663603713671,0.14884997979688422,0.6625881774792398,1.5922217478174615e-07,random
0.23557885956239136,0.04907605145846636,0.1434889716300979,0.02683636682163776,0.07825107859621938,0.29474288497309553,0.17202578695809165,0.662346603840083,1.614708948046502e-07,random
0.06996427355788268,0.12466932260469102,0.1058629970443914,0.0018961696927329418,0.16447678101125227,0.40910466563582376,0.12402579045322568,0.662201659656589,1.6283435075529982e-07,random
0.20298378004045803,0.08856224468806852,0.08399123086602166,0.13149312685408263,0.07298358279338034,0.3963251217748504,0.023660912983138434,0.6617185123782754,1.6745738499405686e-07,random
0.1708754161320557,0.09478675921118769,0.09898867220845367,0.05726468630071979,0.12337858909018173,0.4352474819491476,0.01945839510825392,0.6616218829226126,1.683966018109214e-07,random
0.11257443981147687,0.19963045387575024,0.10906167151719579,0.020014415520802218,0.011365507368764892,0.5325282558108494,0.014825256095160584,0.6612836798277931,1.7172280610214423e-07,random
0.05852350544646271,0.029268769113970763,0.10243855645487789,0.0858414569172463,0.14712998589867463,0.27156523282771394,0.3052324933410537,0.6608005325494797,1.7658124711434964e-07,random
0.10981426411070166,0.02793439491335673,0.14009637272367323,0.20204411115270027,0.13513772390059212,0.30837705218965566,0.07659608100932033,0.6607522178216482,1.770740976902452e-07,random
0.1786473576203577,0.17954497868359734,0.07965118430109498,0.020876047673821136,0.08804650665237905,0.4325586815385651,0.020675243530184805,0.6607522178216482,1.770740976902452e-07,random
0.021614978771664854,0.10609516835281474,0.06004773620501848,0.10927450966460757,0.04870306728012919,0.4916810267201604,0.16258351300560478,0.6607039030938168,1.775682345461047e-07,random
0.11912320085973604,0.007657582710445652,0.12280228933017862,0.08574934492302408,0.11771948643471644,0.4007803893394582,0.14616770640244092,0.6606555883659856,1.7806366079823306e-07,random
0.3994959406664023,0.02039155281925252,0.15970867955305143,0.022744307834945264,0.014948789273320356,0.2871367139065979,0.0955740159464303,0.659640979081527,1.8877105597903515e-07,random
0.2419753852062963,0.06826988502376247,0.0812159337671518,0.13572586282946528,0.024541478561353535,0.4412428614370387,0.007028593174931911,0.659640979081527,1.8877105597903515e-07,random
0.2566564855925044,0.04377354551974409,0.08033551065407561,0.009805988416404359,0.001151713679721459,0.5231347523317882,0.08514200380576184,0.659496034898033,1.903489351054444e-07,random
0.09925168899756175,0.19139330348130731,0.1371258270498788,0.011671942527795378,0.050734861404948414,0.4683780157971549,0.04144436074135356,0.6592061465310447,1.9354176194736332e-07,random
0.1465870503233273,0.10012785307203595,0.06456461277831227,0.06584203250080789,0.09783420623824153,0.3949776038262385,0.13006664126103648,0.6585780550692371,2.0063213126738884e-07,random
0.04956570303525464,0.05660319750833069,0.183889328365791,0.09633205774564207,0.07972153358220069,0.3810063734326453,0.15288180633013557,0.6583364814300803,2.0342329884909087e-07,random
0.13087234388727811,0.14391797373755863,0.0957201873699411,0.11326023464641967,0.10822395941840669,0.3763357307728531,0.03166957016754277,0.657756704696104,2.102709255409657e-07,random
0.06145008024882566,0.04971728489460871,0.12569994758091588,0.07380808731731513,0.06283575490279023,0.5422314127852709,0.08425743227027371,0.6575151310569474,2.1318721174195987e-07,random
0.2388607174893474,0.03413041486969101,0.042077882233857604,0.07481875135788849,0.03104648084035017,0.5240499231003972,0.055015830108468076,0.6571286132342965,2.1793203697057593e-07,random
0.008437151923849666,0.08895828167785562,0.05148900864860644,0.1158077439873855,0.13172383313752625,0.35689454952860705,0.24668943109616956,0.6568870395951396,2.2094749243002112e-07,random
0.3146258437938631,0.039510974603434515,0.10906785930769056,0.030397480256803402,0.0749573721545172,0.2638436574460537,0.1675968124376377,0.6567904101394769,2.2216455971745024e-07,random
0.19577649344920883,0.08443712390654191,0.01609604688529601,0.0590147406519572,0.0455706724186933,0.588482273834737,0.01062264885356574,0.6565005217724887,2.2585346926686375e-07,random
0.1099429164704088,0.05177427279261555,0.12017827519697835,0.12622777411017055,0.197043016193117,0.39450195592675275,0.0003317893099568257,0.6561623186776693,2.3022954117750467e-07,random
0.09830141949473976,0.013900967254337706,0.16958782629839425,0.20652548295822318,0.08822787179952857,0.2850990614427544,0.13835737075202212,0.6560173744941752,2.3212915447667843e-07,random
0.11516441938743527,0.0587198821862535,0.11608985697018293,0.03919191173786203,0.09099094614379494,0.5308138737209012,0.049029109853569994,0.6559207450385125,2.3340369144737052e-07,random
0.18119004544938921,0.14732497946021297,0.12987711174015437,0.1262900846251565,0.027174153626013782,0.37614554594782634,0.01199807915124676,0.6557274861271871,2.35972412293862e-07,random
0.05983111004938757,0.07110916912219582,0.03910387831660669,0.13138009223900304,0.024974435074190504,0.36137250628205764,0.3122288089165588,0.6556308566715242,2.3726665852201045e-07,random
0.04403415195090688,0.04717017533132204,0.09069322753374776,0.03901339323238056,0.07026831689742502,0.6297417365454864,0.07907899850873139,0.6556308566715242,2.3726665852201045e-07,random
0.15438754835291,0.046481508923670554,0.048414198142391056,0.11202412182726586,0.07568432185466843,0.4660452268388845,0.09696307406020971,0.6551477093932108,2.4383800705913144e-07,random
0.353396873453687,0.03165906446896474,0.0883053556235994,0.010771183276294607,0.0423496681536961,0.45337097093625406,0.020146884087504185,0.6550993946653793,2.44504414007741e-07,random
0.06477968910396263,0.07268864680348656,0.14600963336885545,0.006192893852358903,0.22413385745181696,0.3367651838615345,0.14943009555798495,0.6546162473870658,2.512627529334573e-07,random
0.08660190953992919,0.11085049611353073,0.16658494743117105,0.061831610732275964,0.12915451820628324,0.3984919242785417,0.04648459369826814,0.6542297295644148,2.5679469450775834e-07,random
0.24970792714925064,0.1016533691357058,0.03311738944003361,0.05826499260322326,0.004355086703322303,0.29429476759385553,0.25860646737460874,0.6539881559252583,2.603097350832671e-07,random
